Country,Country Code,Year,"Exchange rate, new LCU per USD extended backward, period average,,","Exchange rate, old LCU per USD extended forward, period average,,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Official exchange rate, LCU per USD, period average,,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Unemployment rate,Percent,,,"
Australia,AUS,2015,1.33166804888,1.33166804888,1639508.0,1232863.04979888,1.33166804888,113.00824942706,93.21921945603,6.0542741113
Australia,AUS,2016,1.34498036691,1.34498036691,1697357.0,1262686.57471444,1.34498036691,109.95621444141,89.60354974292,5.71583400991
Australia,AUS,2017,1.3046164938,1.3046164938,1801193.0,1381272.11674904,1.3046164938,120.45631979759,101.10047221633,5.59430673844
Australia,AUS,2018,1.33898111293,1.33898111293,1894241.0,1415710.79296401,1.33898111293,125.43059612993,102.70641291063,5.3073983677
Australia,AUS,2019,1.43863542393,1.43863542393,1993444.0,1385775.69035606,1.43863542393,134.40851137549,102.22297717565,5.16878320817
Australia,AUS,2020,1.45319041492,1.45319041492,1973668.0,1362476.22287242,1.45319041492,128.38640933345,97.3568851434,6.46350425175
Australia,AUS,2021,1.33123048331,1.33123048331,2202558.0,1654974.88435565,1.33123048331,153.12581745471,125.90397997648,5.12860595762
Australia,AUS,2022,1.44251004513,1.44251004513,2482797.0,1722150.14241842,1.44251004513,149.94824354123,114.18860723414,3.71733454891
Australia,AUS,2023,1.50525627602,1.50525627602,2620698.0,1741438.88590259,1.50525627602,152.46551300306,110.99048589365,3.68906422356
Australia,AUS,2024,1.51620070714,1.51620070714,2720077.0,1794098.89908584,1.51620070714,167.74405121814,121.15177634953,4.00440168127
Australia,AUS,2025,1.557831000291818,1.557831000291818,935819.3333333334,593333.6702671107,1.557831000291818,179.15094617006181,125.98791440259183,4.189346406647
Austria,AUT,2015,0.9007476221,12.39513294884,341860.0,379526.615052407,12.39513294884,93.24258880255,72.52465752839,9.10252115903
Austria,AUT,2016,0.90433493697,12.4445802086,355585.0,393302.856227855,12.4445802086,88.17439393133,68.32895334401,9.06337554071
Austria,AUT,2017,0.88690836099,12.2046598556,367703.0,415567.036877305,12.2046598556,118.96058530051,94.53688320559,8.51585309901
Austria,AUT,2019,0.8930961998,12.28973399013,395488.0,442850.062407517,12.28973399013,116.54855060676,91.47970485825,7.3520882538
Austria,AUT,2020,0.87738382839,12.07343323805,379796.0,433737.968228845,12.07343323805,92.69344655769,74.12048104597,9.99584291312
Austria,AUT,2021,0.84518008154,11.63097167874,405962.0,480209.899664804,11.63097167874,131.78844983652,109.20572905378,7.98344410157
Austria,AUT,2022,0.95094414865,13.08602533683,449540.0,473148.90861886,13.08602533683,122.87108349145,91.17821226471,6.2879865412
Austria,AUT,2023,0.92466452082,12.724382056,478462.0,517460.436687946,12.724382056,123.94814389858,93.98064549276,6.4060553757
Austria,AUT,2024,0.92438891162,12.72072840595,493787.0,534228.615281476,12.72072840595,136.77643439358,103.77087545016,6.99769311074
Austria,AUT,2025,0.8924481679372728,12.281097348014544,168567.33333333334,184160.54767522868,12.281097348014544,165.76484553681638,130.83820906991093,7.414371371985
Bahrain,BHR,2015,0.37703156637,0.37703156637,12228.4600020479,32433.5160005975,0.37703156637,91.82539338809,91.81820834037,3.5
Bahrain,BHR,2016,0.37700396825,0.37700396825,12737.8863099904,33787.1398961072,0.37700396825,78.55406878109,78.55282610188,3.9
Bahrain,BHR,2017,0.37706307978,0.37706307978,13988.499575157,37098.5090767883,0.37706307978,89.08175281734,89.06663652875,4.1
Bahrain,BHR,2018,0.37730664283,0.37730664283,14871.6151459034,39414.957840156,0.37730664283,90.21993896204,90.13910387046,4.3
Bahrain,BHR,2019,0.37700362319,0.37700362319,15201.7192585747,40322.4847043833,0.37700362319,100.50741303687,100.50620693637,4.7
Bahrain,BHR,2020,0.37779166667,0.37779166667,13475.8682815942,35671.5924206611,0.37779166667,96.89740072819,96.70239792626,5.9
Bahrain,BHR,2021,0.378,0.378,15342.9477536043,40589.8088719691,0.378,108.70360818063,108.41603249761,5.9
Bahrain,BHR,2022,0.378,0.378,17459.80861214,46189.9698733862,0.378,130.14959153885,129.80528045012,5.4
Bahrain,BHR,2023,0.378,0.378,17356.2951935855,45916.1248507553,0.378,131.99899642426,131.64979273001,6.3
Bahrain,BHR,2024,0.378,0.378,17704.0328379043,46836.0657087416,0.378,137.24812014903,136.88502988409,6.2
Bahrain,BHR,2025,0.378,0.378,6005.764985964283,15888.267159270601,0.378,131.89550451125817,131.26763128540398,
Belgium,BEL,2015,0.9007476221,36.33763630268,415538.0,461347.238979141,36.33763630268,143.4414253152,111.54022241374,8.65577167296
